"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"2351" 42021 2006 -78.70954 40.49715 440.042509 5.63137 -0.0177986191965036 -1.25032709211084
"2352" 42023 2007 -78.20545 41.43266 11.48282 5.56407 -0.0110199145687763 -1.23394065595337
"2353" 42025 1991 -75.70968 40.91925 60.995655 5.8885 0.0215390135369863 -1.242836794156
"2354" 42027 2001 -77.83002 40.92177 44.437278 5.96643 -0.00619044219554181 -1.24296365443162
"2355" 42029 1986 -75.74446 39.98034 3.3745863 6.60427 0.0213646175232146 -1.25937359610751
"2357" 42033 2009 -78.47781 41.00176 464.15796 5.62048 -0.0146453149883504 -1.2414849356522
"2358" 42035 2001 -77.64288 41.23335 142.330069 5.89307 -0.00372653568388548 -1.23749056647444
"2359" 42037 1999 -76.40464 41.04357 195.74032 6.04382 0.0124289621725435 -1.24077329045946
"2361" 42041 1995 -77.26798 40.16862 34.0039965 6.53498 0.00117226031377397 -1.25623824406751
"2362" 42043 1992 -76.78116 40.41294 12.100801 6.55468 0.00758070821363588 -1.25191351422804
"2363" 42045 1981 -75.3989 39.9217 1.747293 7.06928 0.0259645786918697 -1.26032023585125
"2364" 42047 2005 -78.64273 41.41901 48.27552 5.39944 -0.016700187114634 -1.23411698287236
"2366" 42051 2009 -79.64515 39.92315 28.9659031 6.11468 -0.0303491603503565 -1.26019672835506
"2368" 42055 1991 -77.71774 39.92519 26.999613 6.49924 -0.0047887206787631 -1.26051709441331
"2369" 42057 2000 -78.11327 39.92472 12.746544 6.48197 -0.010034454008291 -1.26049452895907
"2371" 42061 2001 -77.97214 40.42231 56.1509261 6.40559 -0.00810599212624735 -1.25174523597588
"2374" 42067 1999 -77.40669 40.52281 52.88068 6.42644 -0.000657857215733659 -1.25000181699151
"2375" 42069 1993 -75.61664 41.43479 258.1582527 5.79362 0.0225895797447589 -1.23374560778973
"2376" 42071 1986 -76.24735 40.0458 0.419985 6.55418 0.0146873554837497 -1.25831615056819
"2378" 42075 1991 -76.46312 40.3682 22.288163 6.49153 0.0117772858650687 -1.25266888728491
"2379" 42077 1988 -75.5917 40.61644 2.7105816 6.39306 0.0231807376734626 -1.24813835018991
"2380" 42079 1999 -75.99021 41.17811 264.177461 5.95046 0.0178050853735408 -1.23834011413158
"2381" 42081 2000 -77.06608 41.33273 301.430291 5.84106 0.00377821868305268 -1.23574198466318
"2382" 42083 2009 -78.57427 41.80621 103.0351321 5.08248 -0.0157240129973077 -1.22731975308388
"2384" 42087 2001 -77.60614 40.60757 22.6150705 6.34758 -0.0032770799428723 -1.24850544480528
