"FIPS" "year" "lat" "long" "size" "population" "income" "basalpercent" "x" "y"
"1809" 36053 1972 42.91486 -75.67318 654.84 72382 24904 14 0.0443126235128747 -1.20713012089902
"1810" 36055 1974 43.14306 -77.70189 657.21 747813 27712 4 0.0184767665027201 -1.20379651540586
"1811" 36057 1945 42.90158 -74.45334 403.04 49941 22847 7 0.0598130429759181 -1.2066948084225
"1812" 36063 1981 43.19856 -78.73467 522.36 215124 25046 5 0.00539065301566263 -1.20295245200736
"1813" 36065 1969 43.24361 -75.44634 1212.43 233556 24459 17 0.046968154593204 -1.20125631988298
"1814" 36067 1973 43.00466 -76.19391 778.39 466852 27960 9 0.0376491095718719 -1.20577938470767
"1815" 36069 1974 42.85386 -77.29985 644.07 108519 29293 13 0.0236680810286589 -1.20878230291899
"1816" 36071 1960 41.40107 -74.31135 811.69 374512 29880 27 0.0629605170688833 -1.23293904483384
"1817" 36073 1981 43.24727 -78.23425 391.26 42836 21085 6 0.0117159626726264 -1.20205287570515
"1818" 36075 1974 43.42839 -76.14641 951.65 121700 22261 16 0.0380160021651076 -1.19833024121878
"1819" 36077 1960 42.63397 -75.03499 1001.7 61709 23176 18 0.0526310971019696 -1.21173242051704
"1820" 36079 1960 41.42885 -73.7527 230.31 99607 39746 36 0.0701786050332527 -1.23205979999065
"1821" 36083 1945 42.71192 -73.51042 652.43 159835 28719 20 0.0719792618600521 -1.20936591568059
"1822" 36087 1960 41.1529 -74.02496 173.55 317757 34983 15 0.066911185551864 -1.23710350154349
"1823" 36089 1972 44.49746 -75.07055 2680.38 112232 21013 22 0.0507722777262051 -1.17911242141191
"1824" 36091 1945 43.10928 -73.86642 809.98 222133 33490 30 0.0670605807542367 -1.20266283761363
"1825" 36093 1945 42.82423 -74.06519 204.52 155124 28001 31 0.0648133332787186 -1.20779639214515
"1826" 36095 1960 42.58669 -74.44267 621.82 32099 25362 22 0.0602228512126337 -1.21221020207252
"1827" 36097 1974 42.39504 -76.87725 328.33 18514 22803 26 0.029236094789514 -1.2167204182231
"1828" 36099 1974 42.77398 -76.83319 323.71 35305 21980 3 0.0296371810269029 -1.21005349968688
"1829" 36101 1974 42.2693 -77.3891 1390.56 99063 24006 20 0.022724319803106 -1.21906903251308
